city,station,year,month_id,date,value,annual_avg,source_url
Канск,1.0,2009,1,2009-01-01,6.0,2.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кемерово,1.0,2009,1,2009-01-01,4.4,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кемерово,10.0,2009,1,2009-01-01,6.0,2.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кемерово,20.0,2009,1,2009-01-01,5.6,3.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кириши,4.0,2009,1,2009-01-01,2.8,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кириши,6.0,2009,1,2009-01-01,3.0,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Киров,1.0,2009,1,2009-01-01,3.0,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кирово­Чепецк,1.0,2009,1,2009-01-01,4.0,2.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Клин,3.0,2009,1,2009-01-01,4.7,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Коломна,5.0,2009,1,2009-01-01,3.4,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кострома,3.0,2009,1,2009-01-01,3.0,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Краснодар,9.0,2009,1,2009-01-01,3.7,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Красноярск,3.0,2009,1,2009-01-01,6.5,5.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Красноярск,5.0,2009,1,2009-01-01,4.8,4.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Красноярск,7.0,2009,1,2009-01-01,5.9,4.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Красноярск,8.0,2009,1,2009-01-01,6.2,5.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кстово,1.0,2009,1,2009-01-01,2.7,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кувандик,2.0,2009,1,2009-01-01,2.5,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Курск,3.0,2009,1,2009-01-01,2.8,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Курск,15.0,2009,1,2009-01-01,2.3,1.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Кызыл,2.0,2009,1,2009-01-01,6.2,5.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Липецк,3.0,2009,1,2009-01-01,4.0,2.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Липецк,6.0,2009,1,2009-01-01,2.7,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Липецк,8.0,2009,1,2009-01-01,2.3,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Магадан,2.0,2009,1,2009-01-01,4.8,2.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Медногорск,3.0,2009,1,2009-01-01,2.8,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Мин. Воды,1.0,2009,1,2009-01-01,2.0,1.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Минусинск,2.0,2009,1,2009-01-01,13.0,4.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Москва,2.0,2009,1,2009-01-01,3.3,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Москва,18.0,2009,1,2009-01-01,4.1,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Москва,20.0,2009,1,2009-01-01,3.6,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Москва,21.0,2009,1,2009-01-01,5.0,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Москва,34.0,2009,1,2009-01-01,6.5,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Мытищи,1.0,2009,1,2009-01-01,3.0,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Набережные Челны,1.0,2009,1,2009-01-01,4.4,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Набережные Челны,2.0,2009,1,2009-01-01,4.9,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Надвоицы,2.0,2009,1,2009-01-01,4.8,3.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Назарово,1.0,2009,1,2009-01-01,3.7,2.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Назарово,2.0,2009,1,2009-01-01,5.2,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
